22-Jan-05 12:52:46 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:46 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:50 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:50 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:50 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:53 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:53 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:53 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:56 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:56 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:56 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:59 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:59 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:59 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:02 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:02 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:02 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:05 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:05 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:05 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:08 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:08 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:08 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:11 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:11 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:12 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:15 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:16 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:16 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:18 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:18 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:18 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:21 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:21 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:21 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:21 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:24 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:24 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:24 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:27 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:27 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:27 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:30 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:30 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:30 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:33 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:33 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:33 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:36 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:53:36 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
